dataset,model,mean_rmse,min_rmse,max_rmse,std_rmse,mean_mae,min_mae,max_mae,std_mae,mean_r2,min_r2,max_r2,std_r2,n_seeds,n_train,n_test,n_features,n_intermediates,n_targets
air_quality,oracle_mlp,32.554849243164064,31.65125274658203,33.52745819091797,0.7557364226499225,22.970148468017577,22.50019836425781,23.483930587768555,0.4359120561024725,0.7741681694984436,0.7592086791992188,0.7935217618942261,0.013091168634559815,5,3700,2315,7,5,4
air_quality,prism_z_random_forest,67.5792116925492,66.79919946762709,68.8249399045543,0.8243467316548819,50.871647006953495,50.08344400386985,51.80650439266381,0.8472953776901054,0.07177922560641285,0.0460694800831273,0.0959706215365333,0.02107498091002897,5,3700,2315,7,5,4
air_quality,random_forest,68.35608163217893,67.42626213825844,68.8465419578734,0.550600596172625,51.29276238634765,50.63433235723412,51.74600044348155,0.4286859674868321,-0.012703232684082738,-0.0905729435339534,0.046743166584461,0.05175717567198629,5,3700,2315,7,5,4
air_quality,xgboost,70.75933177441816,69.89465727346531,71.50684692428142,0.6209987293578738,54.98939205022579,54.039588537406445,55.90017892030546,0.7357636334182879,-0.00871265379563084,-0.0463701113398649,0.0442305862669585,0.035010433055424374,5,3700,2315,7,5,4
air_quality,lightgbm,72.84960276169392,71.7878009511128,75.40313357921818,1.4751244988438459,56.262061959516565,55.54167617935149,58.163749382079054,1.0863402980815313,-0.010408139217830303,-0.0518754633549814,0.0389027535420717,0.03584801594055358,5,3700,2315,7,5,4
air_quality,prism_z_xgboost,73.50377578314175,72.19977239465123,74.94683763319361,0.9845558749437634,55.22034703054538,54.441557762157416,56.34463526180039,0.9215745829818925,0.01821583488925934,-0.0318842461790109,0.0754017262527523,0.040625715426793205,5,3700,2315,7,5,4
air_quality,prism_z_acp_random_forest,73.89729264546685,69.55521618360396,76.6692432154265,2.709069027576775,54.99655833604172,52.0087404255887,56.55148425521531,1.8309632896477583,-0.11425714741215323,-0.213414942641448,0.0161456510719986,0.0831141712187795,5,3700,2315,7,5,4
air_quality,prism_z_lightgbm,75.57027022689957,74.56843304594604,76.69393561926981,1.0441042673065823,56.94159616220695,55.86700339346595,57.88273405977422,0.8740253571582027,-0.042270608174402376,-0.0878087808724596,0.00674808914925,0.035432229753238134,5,3700,2315,7,5,4
air_quality,ftt_mlp,77.48501069533143,74.63640506094718,79.72442771703258,1.9271255660072109,56.632014737148815,54.362863832235846,58.98953948627886,1.7868503797304711,-0.10022911527720986,-0.1479922032476452,-0.0606864952302066,0.039463073038451285,5,3700,2315,7,5,4
air_quality,prism_z_acp_lightgbm,78.13120419101335,73.62916843599206,81.8468435758473,3.0463544756221226,58.29758945322226,55.187045373134026,60.36370933738744,1.90186563523696,-0.15474784137479908,-0.2313550408279456,-0.0432698951466462,0.07654495734524014,5,3700,2315,7,5,4
air_quality,prism_z_acp_xgboost,78.45442823448673,72.18529141900675,82.8979557070031,4.010683996502265,58.02640991850931,54.09697695225694,60.40337474019401,2.377815701213905,-0.15220704238094607,-0.2416334623655665,-0.0066775473608372,0.0954330846112859,5,3700,2315,7,5,4
air_quality,two_stage_mlp,79.34845733642578,78.31649780273438,80.4726333618164,1.0712648663677837,59.243010711669925,58.45877456665039,59.99134826660156,0.6765482996063752,-0.1386249810457229,-0.183509349822998,-0.1123596727848053,0.03268473798136192,5,3700,2315,7,5,4
air_quality,simple_mlp,79.62671966552735,78.13444519042969,81.78057098388672,1.4519427846144628,59.223820495605466,58.330833435058594,61.09992218017578,1.1497539750232517,-0.16849864721298213,-0.2398309707641601,-0.1188264340162277,0.04996315716162436,5,3700,2315,7,5,4
air_quality,prism,81.19438323974609,79.10664367675781,82.91947937011719,1.4900794985236363,60.62688674926758,58.62885665893555,62.48267364501953,1.3901171578120188,-0.19504769742488856,-0.206542506814003,-0.1881211251020431,0.007730132102858223,5,3700,2315,7,5,4
