dataset,model,mean_mse,min_mse,max_mse,std_mse,mean_rmse,std_rmse,mean_r2,std_r2,n_seeds,n_train,n_test,n_features,n_intermediates,n_targets,target_mse_json_mean
air_quality,oracle_mlp,2597.0010576394197,2498.1570092780858,2764.319625423123,109.5958533673897,32.554849243164064,0.7557364226499225,0.7741681694984436,0.013091168634559815,5,3700,2315,7,5,4,"{""target_benzene"": 1.2181490810093778, ""target_co"": 0.47788402185532985, ""target_no2"": 997.2946029333834, ""target_nox"": 9389.013594521432}"
air_quality,prism_z_random_forest,12059.25950624303,11697.567018157346,12553.009642163306,338.66210025319646,67.5792116925492,0.8243467316548819,0.07177922560641285,0.02107498091002897,5,3700,2315,7,5,4,"{""target_benzene"": 41.26825288272903, ""target_co"": 1.524197875322597, ""target_no2"": 2361.456197214049, ""target_nox"": 45832.78937700002}"
air_quality,random_forest,12412.741526698848,12071.272534527967,12659.63160409294,212.6176897464851,68.35608163217893,0.550600596172625,-0.012703232684082738,0.05175717567198629,5,3700,2315,7,5,4,"{""target_benzene"": 58.29779362612212, ""target_co"": 1.5179230570097728, ""target_no2"": 2197.942511142272, ""target_nox"": 47393.207878969995}"
air_quality,xgboost,13471.124332274194,13113.543545463397,13829.459720790086,294.9172984623018,70.75933177441816,0.6209987293578738,-0.00871265379563084,0.035010433055424374,5,3700,2315,7,5,4,"{""target_benzene"": 55.6102421287711, ""target_co"": 1.3828424891825535, ""target_no2"": 2236.3028998572045, ""target_nox"": 51591.201344621615}"
air_quality,lightgbm,14439.846983952977,13988.23639392454,15565.777773401933,651.7850404986737,72.84960276169392,1.4751244988438459,-0.010408139217830303,0.03584801594055358,5,3700,2315,7,5,4,"{""target_benzene"": 49.39973211690292, ""target_co"": 1.4569553508824666, ""target_no2"": 2284.782523902188, ""target_nox"": 55423.74872444194}"
air_quality,prism_z_acp_random_forest,14645.505811367917,12810.117626540972,15904.83326574542,1180.4789313476758,73.89729264546685,2.709069027576775,-0.11425714741215323,0.0831141712187795,5,3700,2315,7,5,4,"{""target_benzene"": 51.760240304648754, ""target_co"": 1.9215945797804448, ""target_no2"": 2563.3135614469006, ""target_nox"": 55965.02784914033}"
air_quality,prism_z_xgboost,14654.64339984949,14211.562435789405,15176.488925452406,346.50514919629586,73.50377578314175,0.9845558749437634,0.01821583488925934,0.040625715426793205,5,3700,2315,7,5,4,"{""target_benzene"": 39.722466308485856, ""target_co"": 1.4702763241656076, ""target_no2"": 2464.726256664273, ""target_nox"": 56112.65460010104}"
air_quality,prism_z_lightgbm,15545.470438716246,15133.200781699701,16050.78488398063,431.0719688429001,75.57027022689957,1.0441042673065823,-0.042270608174402376,0.035432229753238134,5,3700,2315,7,5,4,"{""target_benzene"": 44.28019923452867, ""target_co"": 1.5429082894844777, ""target_no2"": 2526.553428481966, ""target_nox"": 59609.50521885902}"
air_quality,ftt_mlp,16095.949443226404,14874.864839711985,17127.146152821668,848.5328471550265,77.48501069533143,1.9271255660072109,-0.10022911527720986,0.039463073038451285,5,3700,2315,7,5,4,"{""target_benzene"": 40.72139143258184, ""target_co"": 1.6907171161777725, ""target_no2"": 2987.8107683716007, ""target_nox"": 61353.57489598525}"
air_quality,prism_z_acp_lightgbm,16614.973727870376,14552.391074361354,18466.710514558974,1447.4370853335474,78.13120419101335,3.0463544756221226,-0.15474784137479908,0.07654495734524014,5,3700,2315,7,5,4,"{""target_benzene"": 51.5961672822606, ""target_co"": 1.802169834879826, ""target_no2"": 2681.8922304984117, ""target_nox"": 63724.604343865954}"
air_quality,prism_z_acp_xgboost,16844.763449399685,14026.66714908931,18966.76030399979,1840.8082818730395,78.45442823448673,4.010683996502265,-0.15220704238094607,0.0954330846112859,5,3700,2315,7,5,4,"{""target_benzene"": 51.07362891593142, ""target_co"": 1.8008031158209956, ""target_no2"": 2635.98021132144, ""target_nox"": 64690.19915424555}"
air_quality,two_stage_mlp,17197.51447252205,16698.927463881068,17737.458165300366,482.08724476311215,79.34845733642578,1.0712648663677837,-0.1386249810457229,0.03268473798136192,5,3700,2315,7,5,4,"{""target_benzene"": 48.22179967589559, ""target_co"": 1.6766145922404292, ""target_no2"": 2731.725252934554, ""target_nox"": 66008.4342228855}"
air_quality,simple_mlp,17278.605659131797,16550.714256116116,18241.346288419856,656.4577336366641,79.62671966552735,1.4519427846144628,-0.16849864721298213,0.04996315716162436,5,3700,2315,7,5,4,"{""target_benzene"": 52.40647463274054, ""target_co"": 1.6938625314380062, ""target_no2"": 2759.5933912777373, ""target_nox"": 66300.72890808526}"
air_quality,prism,18054.074680599304,17053.54558715981,18933.986074256027,761.7582729708124,81.19438323974609,1.4900794985236363,-0.19504769742488856,0.007730132102858223,5,3700,2315,7,5,4,"{""target_benzene"": 51.902410598278856, ""target_co"": 1.7533617144227578, ""target_no2"": 2803.705711926776, ""target_nox"": 69358.93723815773}"
air_quality,cnn_mlp,21469.814311910428,19186.666729763314,24213.42814650909,2033.9630951311472,87.66327932742342,4.218948559575729,-0.36859686009316855,0.15987321367165938,5,3700,2315,7,5,4,"{""target_benzene"": 66.81055192565137, ""target_co"": 1.8260863110432346, ""target_no2"": 2857.8541745261887, ""target_nox"": 82952.76643487884}"
airfoil_self_noise,prism,2.2979022178507504,1.8323082234816326,2.6050501380910305,0.2840314076601262,1.5134297609329224,0.09638838475970588,0.9504323124885559,0.006938072539103891,5,961,301,4,1,1,"{""target_scaled_sound_pressure_level"": 2.2979022178507504}"
airfoil_self_noise,cnn_mlp,2.7011739719612127,2.15969874544389,3.1326566996310485,0.420083531352848,1.639425841717341,0.12969619053098946,0.9420454912252361,0.007418857908380261,5,961,301,4,1,1,"{""target_scaled_sound_pressure_level"": 2.7011739719612122}"
airfoil_self_noise,ftt_mlp,4.0997328214016635,3.1716186742197943,5.199420857993441,0.9617378459863183,2.013809525603553,0.23532959862196007,0.9123797127314092,0.016772712528693452,5,961,301,4,1,1,"{""target_scaled_sound_pressure_level"": 4.099732821401664}"
airfoil_self_noise,random_forest,4.553983839797669,3.124684551812698,5.527460523645928,1.0234604841244017,2.122455398940306,0.24790854994033423,0.9020266103678962,0.02142446739799721,5,961,301,4,1,1,"{""target_scaled_sound_pressure_level"": 4.553983839797669}"
airfoil_self_noise,lightgbm,5.276259496403836,3.9830240976256586,6.260701077524157,0.9792497799901912,2.288878911659355,0.2159074575047244,0.8863081204917194,0.02175550468048886,5,961,301,4,1,1,"{""target_scaled_sound_pressure_level"": 5.276259496403836}"
airfoil_self_noise,prism_z_acp_lightgbm,5.486816935008617,4.239636303965454,7.412139285177221,1.2363690187444314,2.3310473340641464,0.25747636144181363,0.8826713581070766,0.020214466804648463,5,961,301,4,1,1,"{""target_scaled_sound_pressure_level"": 5.486816935008617}"
airfoil_self_noise,prism_z_lightgbm,5.6363795496826645,4.376243590838852,7.575302166735517,1.2688800724770612,2.362591215426909,0.26110892954442005,0.8794962237693351,0.020654202318372915,5,961,301,4,1,1,"{""target_scaled_sound_pressure_level"": 5.6363795496826645}"
airfoil_self_noise,oracle_mlp,5.677735562220062,4.3704529061833455,6.792515698691432,0.8767223064897938,2.3768958568573,0.18742214341782093,0.8771369099617005,0.02308742404457331,5,961,301,4,1,1,"{""target_scaled_sound_pressure_level"": 5.677735562220062}"
airfoil_self_noise,xgboost,5.922636087949049,4.628368987974518,7.089314907330185,0.8897100039848757,2.427992952078224,0.18535881624406297,0.8716747240647482,0.02543589351644826,5,961,301,4,1,1,"{""target_scaled_sound_pressure_level"": 5.922636087949049}"
airfoil_self_noise,prism_z_acp_xgboost,6.02790960245256,4.641654259014025,8.265563607809844,1.342224266220849,2.4438349950017537,0.263581390791674,0.8709024477108297,0.022789970875883015,5,961,301,4,1,1,"{""target_scaled_sound_pressure_level"": 6.02790960245256}"
airfoil_self_noise,prism_z_xgboost,6.274269263930359,4.94478092265034,8.327908781488697,1.2523100471169601,2.4954260864444144,0.24268784225593568,0.8654567357576604,0.021642962693852377,5,961,301,4,1,1,"{""target_scaled_sound_pressure_level"": 6.274269263930359}"
airfoil_self_noise,prism_z_acp_random_forest,6.292473667012092,4.676524714733759,8.828139350939196,1.5576634915738599,2.494047958532259,0.3004131479170898,0.865438235521772,0.02636358592991093,5,961,301,4,1,1,"{""target_scaled_sound_pressure_level"": 6.292473667012092}"
airfoil_self_noise,prism_z_random_forest,6.312872718386412,4.7125386593547605,8.86250692547104,1.5630530048703055,2.498109304633456,0.3006713747810119,0.8650027121079109,0.02646909149443626,5,961,301,4,1,1,"{""target_scaled_sound_pressure_level"": 6.312872718386412}"
airfoil_self_noise,two_stage_mlp,6.892205530580805,5.688950547369643,8.839450886775069,1.1732180645328774,2.6181175231933596,0.21698549873399864,0.8517207622528076,0.02457295297535047,5,961,301,4,1,1,"{""target_scaled_sound_pressure_level"": 6.892205530580805}"
airfoil_self_noise,simple_mlp,9.44270214375705,7.890167660909583,11.498632210211838,1.3345474835727469,3.066904401779175,0.21447474823557525,0.7967238903045655,0.028912005819051838,5,961,301,4,1,1,"{""target_scaled_sound_pressure_level"": 9.44270214375705}"
auto_mpg,random_forest,8.8242482399036,5.686310392342012,12.438414267322996,2.7340642299366755,2.941601840978689,0.46263761338437137,0.8659014537284853,0.0339972918447164,5,250,79,5,2,1,"{""target_mpg"": 8.8242482399036}"
auto_mpg,xgboost,9.003261536397934,6.091741512372522,12.012187758339445,2.8184681998122647,2.9707841492498086,0.471305467510225,0.862833117708556,0.036915062848069974,5,250,79,5,2,1,"{""target_mpg"": 9.003261536397934}"
auto_mpg,lightgbm,9.36560685911644,7.047464088446401,12.423074251881243,2.275064723522813,3.0426359265874834,0.3673783427128752,0.8564361903405355,0.029617590881075996,5,250,79,5,2,1,"{""target_mpg"": 9.36560685911644}"
auto_mpg,prism_z_acp_random_forest,9.370567199815445,7.875709600602444,10.743361831439733,1.1553731649151555,3.0564153495168096,0.1900408214485876,0.8553328339293028,0.018841323499874118,5,250,79,5,2,1,"{""target_mpg"": 9.370567199815445}"
auto_mpg,prism_z_random_forest,9.434521072732322,7.755891799596944,10.794518912776288,1.2064865158694686,3.0664372110388136,0.1983806426066559,0.8542292597939701,0.021329131848437512,5,250,79,5,2,1,"{""target_mpg"": 9.434521072732323}"
auto_mpg,prism_z_acp_lightgbm,9.459292659088627,8.460863982173999,10.848374531395784,0.9709238286332029,3.0723997968730257,0.1567328430132741,0.8540767985157214,0.015295761980140914,5,250,79,5,2,1,"{""target_mpg"": 9.459292659088627}"
auto_mpg,prism_z_lightgbm,9.583838046054462,8.885310516664621,10.985136640478718,0.8448177455703894,3.0934582746327814,0.1339493801797844,0.8514855212832229,0.02020515092796188,5,250,79,5,2,1,"{""target_mpg"": 9.583838046054462}"
auto_mpg,oracle_mlp,9.802899204059646,6.644000877192923,11.163313896368209,1.8329307040624092,3.118523120880127,0.311674406624361,0.8497673392295837,0.023991442327458395,5,250,79,5,2,1,"{""target_mpg"": 9.802899204059646}"
auto_mpg,prism_z_xgboost,9.830884279266638,7.114241949603144,11.21025514537475,1.6132342688266448,3.1261105859830405,0.2699927857170665,0.8490264809494722,0.021211203985930214,5,250,79,5,2,1,"{""target_mpg"": 9.830884279266638}"
