dataset,model,mean_rmse,std_rmse,mean_mae,mean_r2,std_r2,n_seeds,n_train,n_test,n_features,n_intermediates,n_targets
ai4i_predictive_maintenance,prism_z_acp_random_forest,0.11252543573873004,0.0016584590984027661,0.02324834422167902,-0.23285917862261202,0.09574864217320922,5,6400,2000,5,3,6
ai4i_predictive_maintenance,prism_z_random_forest,0.11257603119147866,0.001644451991276676,0.023273323529104436,-0.2350962281367972,0.097324358465603,5,6400,2000,5,3,6
airfoil_self_noise,prism,1.5134297609329224,0.09638838475970588,1.0862806558609008,0.9504323124885559,0.006938072539103861,5,961,301,4,1,1
airfoil_self_noise,cnn_mlp,1.639425841717341,0.12969619053098938,1.195561750303019,0.9420454912252362,0.007418857908380235,5,961,301,4,1,1
airfoil_self_noise,ftt_mlp,2.013809525603553,0.23532959862196007,1.4572552184471,0.9123797127314092,0.01677271252869343,5,961,301,4,1,1
airfoil_self_noise,random_forest,2.122455398940306,0.24790854994033418,1.5445100797227913,0.9020266103678962,0.02142446739799721,5,961,301,4,1,1
airfoil_self_noise,lightgbm,2.2888789116593546,0.21590745750472445,1.6603946049108227,0.8863081204917194,0.021755504680488907,5,961,301,4,1,1
airfoil_self_noise,prism_z_acp_lightgbm,2.3310473340641464,0.25747636144181363,1.6436899672026293,0.8826713581070769,0.020214466804648494,5,961,301,4,1,1
airfoil_self_noise,prism_z_lightgbm,2.362591215426909,0.26110892954442,1.670381862047871,0.8794962237693351,0.020654202318372915,5,961,301,4,1,1
airfoil_self_noise,oracle_mlp,2.3768958568573,0.18742214341782093,1.7439293384552002,0.8771369099617005,0.02308742404457331,5,961,301,4,1,1
airfoil_self_noise,xgboost,2.427992952078224,0.1853588162440628,1.8202604522547858,0.8716747240647482,0.02543589351644826,5,961,301,4,1,1
airfoil_self_noise,prism_z_acp_xgboost,2.4438349950017537,0.263581390791674,1.7950846100979512,0.8709024477108297,0.022789970875883064,5,961,301,4,1,1
airfoil_self_noise,prism_z_acp_random_forest,2.494047958532259,0.30041314791708995,1.8115356069065647,0.865438235521772,0.026363585929910886,5,961,301,4,1,1
airfoil_self_noise,prism_z_xgboost,2.4954260864444144,0.24268784225593568,1.836069746097539,0.8654567357576604,0.021642962693852377,5,961,301,4,1,1
