dataset,recoverability_model,macro_r2_mean,macro_r2_min,macro_r2_max,macro_r2_std,macro_std_rmse_mean,macro_std_rmse_min,macro_std_rmse_max,macro_std_rmse_std,macro_std_mae_mean,macro_std_mae_std,oracle_gain_pct,n_seeds,n_rows,n_train,n_test,n_features,n_intermediates
hydraulic_systems,random_forest,0.8808607587603925,0.8574777023311164,0.8963954395464117,0.014384357261795365,0.2019352711354633,0.17384271007814417,0.22377586037751998,0.021461249539612353,0.09649099419858705,0.004264825357003607,23.939301246492413,5,2205,1411,441,23,44
hydraulic_systems,ridge,0.8221600294113159,0.8006777167320251,0.8320727944374084,0.012476264283132806,0.2646084904670715,0.23228998482227325,0.28867265582084656,0.02474054776457716,0.16382919251918793,0.005318694750631409,23.939301246492413,5,2205,1411,441,23,44
parkinsons_telemonitoring,random_forest,-0.8929831474658505,-0.9970912494324844,-0.7825215629261273,0.09171187089959727,1.366629776667579,1.2469908989693335,1.5779746777905996,0.13510060110879432,1.1586560893807696,0.15230624975188597,55.12328769014473,5,5875,3667,1248,19,1
parkinsons_telemonitoring,ridge,-0.3280850201845169,-0.5171541571617126,-0.19026829302310944,0.15806060742366762,1.1474193334579468,1.083041787147522,1.2713078260421753,0.07402203935908644,0.9633866310119629,0.09674022711994834,55.12328769014473,5,5875,3667,1248,19,1
real_estate_valuation,random_forest,0.05372032818949975,-0.16843083074800197,0.20827270044779206,0.13765994768675877,0.962670518885729,0.8176207782764751,1.1446887377888364,0.12718814678159987,0.7236742931335883,0.1036955432392748,35.60771056732076,5,414,264,83,2,4
real_estate_valuation,ridge,-0.020971566438674927,-0.039240479469299316,-0.002649247646331787,0.015657731204546544,1.0024344086647035,0.8595605492591858,1.0829944610595703,0.0975699322571991,0.8023775696754456,0.06621188630058836,35.60771056732076,5,414,264,83,2,4
student_performance,random_forest,0.2780979982357103,0.14837347548427182,0.37386552274624013,0.09381162288250798,0.8279519558436075,0.7470290842108218,0.9096915328471851,0.06823908555554244,0.6357160290422872,0.040709730691633354,45.36219997530323,5,1044,668,209,58,2
student_performance,ridge,0.22429271936416625,0.15900921821594238,0.29405835270881653,0.05226141245894346,0.8590866684913635,0.781997561454773,0.903989315032959,0.04813128415278558,0.660566532611847,0.03635268723118372,45.36219997530323,5,1044,668,209,58,2
superconductivity,random_forest,0.9316447038999215,0.927920545277755,0.9348337677929458,0.0030038760891973122,0.2537558271891918,0.2461042562647532,0.26375922766849164,0.006945565706018992,0.0961216679221309,0.0029707797727917267,2.1374606386524024,5,21263,13608,4253,77,81
superconductivity,ridge,0.3671852022409439,0.24767671525478363,0.4411197304725647,0.07398603373405686,0.7917290925979614,0.7414024472236633,0.8641071915626526,0.04920405806275027,0.5372649550437927,0.023904735610393583,2.1374606386524024,5,21263,13608,4253,77,81
wine_quality,random_forest,0.7136826157899154,0.709531788851686,0.7191810347399858,0.004126725739804919,0.51805380322215,0.504286960319539,0.5274918350600994,0.008945237052911392,0.3746924215056292,0.006184269230250391,6.462011903270877,5,6497,4157,1300,10,3
wine_quality,ridge,0.49646806716918945,0.4834219217300415,0.5041453242301941,0.008503080409837844,0.68699152469635,0.6795333027839661,0.6972057223320007,0.006379437720745348,0.5408928513526916,0.004051553190793108,6.462011903270877,5,6497,4157,1300,10,3
