dataset,seed,model,n_rows,n_train,n_val,n_test,n_features,n_intermediates,n_targets,mean_rmse,mean_mae,mean_r2,target_rmse_json,target_r2_json,dropped_all_nan_cols,split_group_col,train_val_group_overlap,train_test_group_overlap,val_test_group_overlap,target_constant_within_group
airfoil_self_noise,2,ftt_mlp,1503,961,241,301,4,1,1,2.2500756641681297,1.5616004669496848,0.9021079498460997,"{""target_scaled_sound_pressure_level"": 2.2500756641681297}","{""target_scaled_sound_pressure_level"": 0.9021079498460997}",,,0,0,0,False
airfoil_self_noise,2,two_stage_mlp,1503,961,241,301,4,1,1,2.618568181991577,1.8093950748443604,0.8674191236495972,"{""target_scaled_sound_pressure_level"": 2.618568181991577}","{""target_scaled_sound_pressure_level"": 0.8674191236495972}",,,0,0,0,False
airfoil_self_noise,2,oracle_mlp,1503,961,241,301,4,1,1,2.342874526977539,1.670642375946045,0.893866777420044,"{""target_scaled_sound_pressure_level"": 2.342874526977539}","{""target_scaled_sound_pressure_level"": 0.893866777420044}",,,0,0,0,False
airfoil_self_noise,2,prism,1503,961,241,301,4,1,1,1.6140167713165283,1.1632866859436035,0.9496303200721741,"{""target_scaled_sound_pressure_level"": 1.6140167713165283}","{""target_scaled_sound_pressure_level"": 0.9496303200721741}",,,0,0,0,False
airfoil_self_noise,2,prism_z_acp_random_forest,1503,961,241,301,4,1,1,2.9712184959943952,2.0155777292469907,0.8293043873197825,"{""target_scaled_sound_pressure_level"": 2.9712184959943952}","{""target_scaled_sound_pressure_level"": 0.8293043873197825}",,,0,0,0,False
airfoil_self_noise,2,prism_z_acp_xgboost,1503,961,241,301,4,1,1,2.8749893230775387,1.9903260173592296,0.8401820147942827,"{""target_scaled_sound_pressure_level"": 2.8749893230775387}","{""target_scaled_sound_pressure_level"": 0.8401820147942827}",,,0,0,0,False
airfoil_self_noise,2,prism_z_acp_lightgbm,1503,961,241,301,4,1,1,2.722524432429803,1.8042184516984427,0.8566833161259702,"{""target_scaled_sound_pressure_level"": 2.722524432429803}","{""target_scaled_sound_pressure_level"": 0.8566833161259702}",,,0,0,0,False
airfoil_self_noise,2,prism_z_random_forest,1503,961,241,301,4,1,1,2.9769962924852695,2.0311760253174964,0.8286398764916404,"{""target_scaled_sound_pressure_level"": 2.9769962924852695}","{""target_scaled_sound_pressure_level"": 0.8286398764916404}",,,0,0,0,False
airfoil_self_noise,2,prism_z_xgboost,1503,961,241,301,4,1,1,2.885811633057275,1.9858480874824072,0.8389765458731749,"{""target_scaled_sound_pressure_level"": 2.885811633057275}","{""target_scaled_sound_pressure_level"": 0.8389765458731749}",,,0,0,0,False
airfoil_self_noise,2,prism_z_lightgbm,1503,961,241,301,4,1,1,2.7523266824153554,1.817348515546209,0.8535284964151441,"{""target_scaled_sound_pressure_level"": 2.7523266824153554}","{""target_scaled_sound_pressure_level"": 0.8535284964151441}",,,0,0,0,False
airfoil_self_noise,3,simple_mlp,1503,961,241,301,4,1,1,2.8089442253112793,2.0557310581207275,0.8192026615142822,"{""target_scaled_sound_pressure_level"": 2.8089442253112793}","{""target_scaled_sound_pressure_level"": 0.8192026615142822}",,,0,0,0,False
airfoil_self_noise,3,random_forest,1503,961,241,301,4,1,1,2.3073957728257692,1.6648264367042593,0.8780027629817937,"{""target_scaled_sound_pressure_level"": 2.3073957728257692}","{""target_scaled_sound_pressure_level"": 0.8780027629817937}",,,0,0,0,False
airfoil_self_noise,3,xgboost,1503,961,241,301,4,1,1,2.6625767420546183,1.9897386089128648,0.8375536050795708,"{""target_scaled_sound_pressure_level"": 2.6625767420546183}","{""target_scaled_sound_pressure_level"": 0.8375536050795708}",,,0,0,0,False
airfoil_self_noise,3,lightgbm,1503,961,241,301,4,1,1,2.502139300183776,1.74000960726707,0.8565406766362342,"{""target_scaled_sound_pressure_level"": 2.502139300183776}","{""target_scaled_sound_pressure_level"": 0.8565406766362342}",,,0,0,0,False
airfoil_self_noise,3,cnn_mlp,1503,961,241,301,4,1,1,1.683503785284718,1.182262616401111,0.9350567521679252,"{""target_scaled_sound_pressure_level"": 1.683503785284718}","{""target_scaled_sound_pressure_level"": 0.9350567521679252}",,,0,0,0,False
airfoil_self_noise,3,ftt_mlp,1503,961,241,301,4,1,1,1.9241301075768968,1.3410038717399422,0.9151650750397279,"{""target_scaled_sound_pressure_level"": 1.9241301075768968}","{""target_scaled_sound_pressure_level"": 0.9151650750397279}",,,0,0,0,False
airfoil_self_noise,3,two_stage_mlp,1503,961,241,301,4,1,1,2.3851521015167236,1.7701667547225952,0.869641900062561,"{""target_scaled_sound_pressure_level"": 2.3851521015167236}","{""target_scaled_sound_pressure_level"": 0.869641900062561}",,,0,0,0,False
airfoil_self_noise,3,oracle_mlp,1503,961,241,301,4,1,1,2.440033197402954,1.8125778436660767,0.8635739088058472,"{""target_scaled_sound_pressure_level"": 2.440033197402954}","{""target_scaled_sound_pressure_level"": 0.8635739088058472}",,,0,0,0,False
airfoil_self_noise,3,prism,1503,961,241,301,4,1,1,1.5254627466201782,1.071104884147644,0.9466776847839355,"{""target_scaled_sound_pressure_level"": 1.5254627466201782}","{""target_scaled_sound_pressure_level"": 0.9466776847839355}",,,0,0,0,False
airfoil_self_noise,3,prism_z_acp_random_forest,1503,961,241,301,4,1,1,2.490719746816281,1.831987165340272,0.8578471610522713,"{""target_scaled_sound_pressure_level"": 2.490719746816281}","{""target_scaled_sound_pressure_level"": 0.8578471610522713}",,,0,0,0,False
airfoil_self_noise,3,prism_z_acp_xgboost,1503,961,241,301,4,1,1,2.4226060007200805,1.8221306789148133,0.8655157619135008,"{""target_scaled_sound_pressure_level"": 2.4226060007200805}","{""target_scaled_sound_pressure_level"": 0.8655157619135008}",,,0,0,0,False
airfoil_self_noise,3,prism_z_acp_lightgbm,1503,961,241,301,4,1,1,2.286856366951582,1.6573975828940566,0.8801650259618496,"{""target_scaled_sound_pressure_level"": 2.286856366951582}","{""target_scaled_sound_pressure_level"": 0.8801650259618496}",,,0,0,0,False
airfoil_self_noise,3,prism_z_random_forest,1503,961,241,301,4,1,1,2.5043601650343588,1.8354164396723496,0.8562858985246303,"{""target_scaled_sound_pressure_level"": 2.5043601650343588}","{""target_scaled_sound_pressure_level"": 0.8562858985246303}",,,0,0,0,False
airfoil_self_noise,3,prism_z_xgboost,1503,961,241,301,4,1,1,2.510556721034114,1.8770401154334677,0.8555738330513112,"{""target_scaled_sound_pressure_level"": 2.510556721034114}","{""target_scaled_sound_pressure_level"": 0.8555738330513112}",,,0,0,0,False
airfoil_self_noise,3,prism_z_lightgbm,1503,961,241,301,4,1,1,2.298248415448346,1.6758955704201266,0.8789681286276976,"{""target_scaled_sound_pressure_level"": 2.298248415448346}","{""target_scaled_sound_pressure_level"": 0.8789681286276976}",,,0,0,0,False
airfoil_self_noise,4,simple_mlp,1503,961,241,301,4,1,1,2.96058988571167,2.1334829330444336,0.8175663948059082,"{""target_scaled_sound_pressure_level"": 2.96058988571167}","{""target_scaled_sound_pressure_level"": 0.8175663948059082}",,,0,0,0,False
airfoil_self_noise,4,random_forest,1503,961,241,301,4,1,1,1.7676777284937144,1.3662189240479135,0.9349638860990102,"{""target_scaled_sound_pressure_level"": 1.7676777284937144}","{""target_scaled_sound_pressure_level"": 0.9349638860990102}",,,0,0,0,False
airfoil_self_noise,4,xgboost,1503,961,241,301,4,1,1,2.1513644479665732,1.6359313005625578,0.9036667133317196,"{""target_scaled_sound_pressure_level"": 2.1513644479665732}","{""target_scaled_sound_pressure_level"": 0.9036667133317196}",,,0,0,0,False
airfoil_self_noise,4,lightgbm,1503,961,241,301,4,1,1,1.99575151199383,1.532067070314227,0.9170987008166009,"{""target_scaled_sound_pressure_level"": 1.99575151199383}","{""target_scaled_sound_pressure_level"": 0.9170987008166009}",,,0,0,0,False
airfoil_self_noise,4,cnn_mlp,1503,961,241,301,4,1,1,1.5384237010475712,1.1591169737220943,0.9507393285983292,"{""target_scaled_sound_pressure_level"": 1.5384237010475712}","{""target_scaled_sound_pressure_level"": 0.9507393285983292}",,,0,0,0,False
airfoil_self_noise,4,ftt_mlp,1503,961,241,301,4,1,1,1.8337141024242447,1.4068833608223745,0.9300139226067734,"{""target_scaled_sound_pressure_level"": 1.8337141024242447}","{""target_scaled_sound_pressure_level"": 0.9300139226067734}",,,0,0,0,False
airfoil_self_noise,4,two_stage_mlp,1503,961,241,301,4,1,1,2.5406219959259033,1.7713079452514648,0.865652859210968,"{""target_scaled_sound_pressure_level"": 2.5406219959259033}","{""target_scaled_sound_pressure_level"": 0.865652859210968}",,,0,0,0,False
airfoil_self_noise,4,oracle_mlp,1503,961,241,301,4,1,1,2.0905628204345703,1.5793442726135254,0.9090349078178406,"{""target_scaled_sound_pressure_level"": 2.0905628204345703}","{""target_scaled_sound_pressure_level"": 0.9090349078178406}",,,0,0,0,False
airfoil_self_noise,4,prism,1503,961,241,301,4,1,1,1.3536278009414673,0.9996508359909058,0.9618629813194275,"{""target_scaled_sound_pressure_level"": 1.3536278009414673}","{""target_scaled_sound_pressure_level"": 0.9618629813194275}",,,0,0,0,False
airfoil_self_noise,4,prism_z_acp_random_forest,1503,961,241,301,4,1,1,2.1625273905164204,1.6325711446633868,0.9026644165306931,"{""target_scaled_sound_pressure_level"": 2.1625273905164204}","{""target_scaled_sound_pressure_level"": 0.9026644165306931}",,,0,0,0,False
airfoil_self_noise,4,prism_z_acp_xgboost,1503,961,241,301,4,1,1,2.154449873868971,1.6396090826254925,0.9033901982511717,"{""target_scaled_sound_pressure_level"": 2.154449873868971}","{""target_scaled_sound_pressure_level"": 0.9033901982511717}",,,0,0,0,False
