dataset,seed,model,n_rows,n_train,n_val,n_test,n_features,n_intermediates,n_targets,mean_rmse,mean_mae,mean_r2,target_rmse_json,target_r2_json,dropped_all_nan_cols,split_group_col,train_val_group_overlap,train_test_group_overlap,val_test_group_overlap,target_constant_within_group,mean_mse,target_mse_json
airfoil_self_noise,1,prism_z_acp_xgboost,1503,961,241,301,4,1,1,2.367024729924189,1.7849031220703568,0.8680879637926529,"{""target_scaled_sound_pressure_level"": 2.367024729924189}","{""target_scaled_sound_pressure_level"": 0.8680879637926529}",,,0,0,0,False,5.6028060720726796,"{""target_scaled_sound_pressure_level"": 5.6028060720726796}"
airfoil_self_noise,1,prism_z_acp_lightgbm,1503,961,241,301,4,1,1,2.164671678977074,1.577868230913042,0.8896778025031941,"{""target_scaled_sound_pressure_level"": 2.164671678977074}","{""target_scaled_sound_pressure_level"": 0.8896778025031941}",,,0,0,0,False,4.6858034777654245,"{""target_scaled_sound_pressure_level"": 4.6858034777654245}"
airfoil_self_noise,1,prism_z_random_forest,1503,961,241,301,4,1,1,2.339570728033926,1.762630514663017,0.8711301890256711,"{""target_scaled_sound_pressure_level"": 2.339570728033926}","{""target_scaled_sound_pressure_level"": 0.8711301890256711}",,,0,0,0,False,5.473591191473195,"{""target_scaled_sound_pressure_level"": 5.473591191473195}"
airfoil_self_noise,1,prism_z_xgboost,1503,961,241,301,4,1,1,2.419340439616957,1.8445913095481523,0.862192516184967,"{""target_scaled_sound_pressure_level"": 2.419340439616957}","{""target_scaled_sound_pressure_level"": 0.862192516184967}",,,0,0,0,False,5.853208162765971,"{""target_scaled_sound_pressure_level"": 5.853208162765971}"
airfoil_self_noise,1,prism_z_lightgbm,1503,961,241,301,4,1,1,2.190422267744532,1.600147512066953,0.8870374401931728,"{""target_scaled_sound_pressure_level"": 2.190422267744532}","{""target_scaled_sound_pressure_level"": 0.8870374401931728}",,,0,0,0,False,4.797949711031099,"{""target_scaled_sound_pressure_level"": 4.797949711031099}"
airfoil_self_noise,2,simple_mlp,1503,961,241,301,4,1,1,3.099830389022827,2.162336826324463,0.814207136631012,"{""target_scaled_sound_pressure_level"": 3.099830389022827}","{""target_scaled_sound_pressure_level"": 0.814207136631012}",,,0,0,0,False,9.608948440709412,"{""target_scaled_sound_pressure_level"": 9.608948440709412}"
airfoil_self_noise,2,random_forest,1503,961,241,301,4,1,1,2.351055193662184,1.7202730392348706,0.8931243353618925,"{""target_scaled_sound_pressure_level"": 2.3510551936621837}","{""target_scaled_sound_pressure_level"": 0.8931243353618925}",,,0,0,0,False,5.527460523645928,"{""target_scaled_sound_pressure_level"": 5.527460523645928}"
airfoil_self_noise,2,xgboost,1503,961,241,301,4,1,1,2.4716664413414957,1.8521165157692387,0.8818774262787952,"{""target_scaled_sound_pressure_level"": 2.4716664413414953}","{""target_scaled_sound_pressure_level"": 0.8818774262787952}",,,0,0,0,False,6.109134997253731,"{""target_scaled_sound_pressure_level"": 6.109134997253731}"
airfoil_self_noise,2,lightgbm,1503,961,241,301,4,1,1,2.493944109738321,1.7909467051045316,0.8797385012161555,"{""target_scaled_sound_pressure_level"": 2.493944109738321}","{""target_scaled_sound_pressure_level"": 0.8797385012161555}",,,0,0,0,False,6.219757222498466,"{""target_scaled_sound_pressure_level"": 6.219757222498466}"
airfoil_self_noise,2,cnn_mlp,1503,961,241,301,4,1,1,1.769931269747797,1.2840881176342125,0.9394288271397278,"{""target_scaled_sound_pressure_level"": 1.769931269747797}","{""target_scaled_sound_pressure_level"": 0.9394288271397278}",,,0,0,0,False,3.1326566996310485,"{""target_scaled_sound_pressure_level"": 3.1326566996310485}"
airfoil_self_noise,2,ftt_mlp,1503,961,241,301,4,1,1,2.2500756641681297,1.5616004669496848,0.9021079498460997,"{""target_scaled_sound_pressure_level"": 2.2500756641681297}","{""target_scaled_sound_pressure_level"": 0.9021079498460997}",,,0,0,0,False,5.06284049448165,"{""target_scaled_sound_pressure_level"": 5.06284049448165}"
airfoil_self_noise,2,two_stage_mlp,1503,961,241,301,4,1,1,2.618568181991577,1.8093950748443604,0.8674191236495972,"{""target_scaled_sound_pressure_level"": 2.618568181991577}","{""target_scaled_sound_pressure_level"": 0.8674191236495972}",,,0,0,0,False,6.8568993237386735,"{""target_scaled_sound_pressure_level"": 6.8568993237386735}"
